2023-12,Canada,3627709.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-01,Canada,4527838.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-02,Canada,4625696.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-03,Canada,4718038.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-04,Canada,4698685.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-05,Canada,4580199.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-06,Canada,4637405.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-07,Canada,4937157.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-08,Canada,4739656.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-09,Canada,4967175.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-10,Canada,5044865.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-11,Canada,5051712.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2024-12,Canada,5042880.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-01,Canada,4980050.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-02,Canada,4951163.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-03,Canada,4843867.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-04,Canada,5043638.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-05,Canada,4873856.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-06,Canada,4823340.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-07,Canada,5183994.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-08,Canada,4900198.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-09,Canada,4828931.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-10,Canada,4930486.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-11,Canada,4826915.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
2025-12,Canada,5052983.00,Retail e-commerce sales,Seasonally adjusted,Retail trade [44-45]
