2022-01,British Columbia,8848131.00,8738545.000000
2022-02,British Columbia,8873580.00,8788199.333333
2022-03,British Columbia,8849661.00,8857124.000000
2022-04,British Columbia,8948202.00,8890481.000000
2022-05,British Columbia,8959611.00,8919158.000000
2022-06,British Columbia,9303459.00,9070424.000000
2022-07,British Columbia,8997816.00,9086962.000000
2022-08,British Columbia,9188450.00,9163241.666667
2022-09,British Columbia,8996452.00,9060906.000000
2022-10,British Columbia,9076964.00,9087288.666667
2022-11,British Columbia,9058258.00,9043891.333333
2022-12,British Columbia,8788552.00,8974591.333333
2023-01,British Columbia,9177182.00,9007997.333333
2023-02,British Columbia,8696408.00,8887380.666667
2023-03,British Columbia,8996375.00,8956655.000000
2023-04,British Columbia,8748978.00,8813920.333333
2023-05,British Columbia,9060073.00,8935142.000000
2023-06,British Columbia,8884836.00,8897962.333333
2023-07,British Columbia,9012593.00,8985834.000000
2023-08,British Columbia,9007119.00,8968182.666667
2023-09,British Columbia,9064102.00,9027938.000000
2023-10,British Columbia,9002367.00,9024529.333333
2023-11,British Columbia,9053094.00,9039854.333333
2023-12,British Columbia,9062904.00,9039455.000000
2024-01,British Columbia,8814883.00,8976960.333333
2024-02,British Columbia,8952506.00,8943431.000000
2024-03,British Columbia,8948558.00,8905315.666667
2024-04,British Columbia,8976138.00,8959067.333333
2024-05,British Columbia,8914176.00,8946290.666667
2024-06,British Columbia,8776221.00,8888845.000000
2024-07,British Columbia,8994978.00,8895125.000000
2024-08,British Columbia,9000468.00,8923889.000000
2024-09,British Columbia,9145763.00,9047069.666667
2024-10,British Columbia,9265410.00,9137213.666667
2024-11,British Columbia,9239591.00,9216921.333333
2024-12,British Columbia,9396235.00,9300412.000000
2025-01,British Columbia,9837480.00,9491102.000000
2025-02,British Columbia,9448525.00,9560746.666667
2025-03,British Columbia,9458693.00,9581566.000000
2025-04,British Columbia,9652492.00,9519903.333333
2025-05,British Columbia,9590037.00,9567074.000000
2025-06,British Columbia,9829150.00,9690559.666667
2025-07,British Columbia,9649357.00,9689514.666667
2025-08,British Columbia,9613278.00,9697261.666667
2025-09,British Columbia,9535143.00,9599259.333333
2025-10,British Columbia,9493269.00,9547230.000000
2025-11,British Columbia,9665996.00,9564802.666667
2025-12,British Columbia,9619953.00,9593072.666667
2019-01,Canada,52907965.00,52907965.000000
2019-02,Canada,52997482.00,52952723.500000
2019-03,Canada,53627744.00,53177730.333333
2019-04,Canada,53786070.00,53470432.000000
2019-05,Canada,54093066.00,53835626.666667
2019-06,Canada,53802084.00,53893740.000000
2019-07,Canada,54381960.00,54092370.000000
2019-08,Canada,54350184.00,54178076.000000
2019-09,Canada,54363245.00,54365129.666667
2019-10,Canada,53625470.00,54112966.333333
2019-11,Canada,54040294.00,54009669.666667
2019-12,Canada,55349866.00,54338543.333333
2020-01,Canada,54694567.00,54694909.000000
2020-02,Canada,54879879.00,54974770.666667
2020-03,Canada,48808933.00,52794459.666667
2020-04,Canada,37562059.00,47083623.666667
2020-05,Canada,45898194.00,44089728.666667
2020-06,Canada,55877453.00,46445902.000000
2020-07,Canada,56307980.00,52694542.333333
2020-08,Canada,56079836.00,56088423.000000
2020-09,Canada,57985834.00,56791216.666667
2020-10,Canada,58530435.00,57532035.000000
2020-11,Canada,58735568.00,58417279.000000
2020-12,Canada,56372888.00,57879630.333333
2021-01,Canada,55167078.00,56758511.333333
2021-02,Canada,58691211.00,56743725.666667
2021-03,Canada,61692136.00,58516808.333333
2021-04,Canada,58413210.00,59598852.333333
2021-05,Canada,57034665.00,59046670.333333
2021-06,Canada,59665182.00,58371019.000000
2021-07,Canada,60202542.00,58967463.000000
2021-08,Canada,61117315.00,60328346.333333
2021-09,Canada,60798116.00,60705991.000000
2021-10,Canada,61717971.00,61211134.000000
2021-11,Canada,62372150.00,61629412.333333
2021-12,Canada,61335552.00,61808557.666667
2022-01,Canada,62902231.00,62203311.000000
2022-02,Canada,63226183.00,62487988.666667
2022-03,Canada,64010320.00,63379578.000000
2022-04,Canada,64083589.00,63773364.000000
2022-05,Canada,65991852.00,64695253.666667
2022-06,Canada,66813170.00,65629537.000000
2022-07,Canada,64911949.00,65905657.000000
2022-08,Canada,65182272.00,65635797.000000
2022-09,Canada,64874350.00,64989523.666667
2022-10,Canada,65505091.00,65187237.666667
2022-11,Canada,65322241.00,65233894.000000
2022-12,Canada,64724032.00,65183788.000000
2023-01,Canada,66337030.00,65461101.000000
2023-02,Canada,65393717.00,65484926.333333
2023-03,Canada,65151898.00,65627548.333333
2023-04,Canada,65543626.00,65363080.333333
2023-05,Canada,65912418.00,65535980.666667
2023-06,Canada,65999226.00,65818423.333333
2023-07,Canada,65934437.00,65948693.666667
2023-08,Canada,65928521.00,65954061.333333
2023-09,Canada,66731505.00,66198154.333333
2023-10,Canada,66669491.00,66443172.333333
2023-11,Canada,66440630.00,66613875.333333
2023-12,Canada,66326559.00,66478893.333333
2024-01,Canada,67090062.00,66619083.666667
2024-02,Canada,67161392.00,66859337.666667
2024-03,Canada,66654941.00,66968798.333333
2024-04,Canada,67248485.00,67021606.000000
2024-05,Canada,66881905.00,66928443.666667
