2019-01,Canada,52907965.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-01,Quebec,11163366.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-01,Ontario,20208460.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-01,Alberta,6849274.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-01,British Columbia,7623010.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-02,Canada,52997482.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-02,Quebec,11300910.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-02,Ontario,20303537.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-02,Alberta,6846332.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-02,British Columbia,7460788.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-03,Canada,53627744.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-03,Quebec,11428147.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-03,Ontario,20332648.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-03,Alberta,7004759.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-03,British Columbia,7637540.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-04,Canada,53786070.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-04,Quebec,11247295.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-04,Ontario,20709633.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-04,Alberta,7094556.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-04,British Columbia,7542317.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-05,Canada,54093066.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-05,Quebec,11467525.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-05,Ontario,20829825.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-05,Alberta,7032082.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-05,British Columbia,7631488.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-06,Canada,53802084.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-06,Quebec,11312376.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-06,Ontario,20895556.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-06,Alberta,6959217.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-06,British Columbia,7510125.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-07,Canada,54381960.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-07,Quebec,11435129.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-07,Ontario,21159166.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-07,Alberta,7022772.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
2019-07,British Columbia,7551448.00,Total retail sales,Seasonally adjusted,Retail trade [44-45]
