2024-04,Canada,Total retail sales,67248485.00,Retail e-commerce sales,4698685.00,6.987050
2024-05,Canada,Total retail sales,66881905.00,Retail e-commerce sales,4580199.00,6.848189
2024-06,Canada,Total retail sales,66441657.00,Retail e-commerce sales,4637405.00,6.979665
2024-07,Canada,Total retail sales,67786847.00,Retail e-commerce sales,4937157.00,7.283355
2024-08,Canada,Total retail sales,67604219.00,Retail e-commerce sales,4739656.00,7.010888
2024-09,Canada,Total retail sales,68321269.00,Retail e-commerce sales,4967175.00,7.270320
2024-10,Canada,Total retail sales,69041870.00,Retail e-commerce sales,5044865.00,7.306965
2024-11,Canada,Total retail sales,69070294.00,Retail e-commerce sales,5051712.00,7.313871
2024-12,Canada,Total retail sales,70891213.00,Retail e-commerce sales,5042880.00,7.113547
2025-01,Canada,Total retail sales,70573782.00,Retail e-commerce sales,4980050.00,7.056516
2025-02,Canada,Total retail sales,69400454.00,Retail e-commerce sales,4951163.00,7.134194
2025-03,Canada,Total retail sales,70269650.00,Retail e-commerce sales,4843867.00,6.893256
2025-04,Canada,Total retail sales,70413365.00,Retail e-commerce sales,5043638.00,7.162899
2025-05,Canada,Total retail sales,69612679.00,Retail e-commerce sales,4873856.00,7.001391
2025-06,Canada,Total retail sales,70579225.00,Retail e-commerce sales,4823340.00,6.833937
2025-07,Canada,Total retail sales,70134576.00,Retail e-commerce sales,5183994.00,7.391495
2025-08,Canada,Total retail sales,70780386.00,Retail e-commerce sales,4900198.00,6.923102
2025-09,Canada,Total retail sales,70059094.00,Retail e-commerce sales,4828931.00,6.892654
2025-10,Canada,Total retail sales,70112774.00,Retail e-commerce sales,4930486.00,7.032222
2025-11,Canada,Total retail sales,70985144.00,Retail e-commerce sales,4826915.00,6.799895
2025-12,Canada,Total retail sales,70708740.00,Retail e-commerce sales,5052983.00,7.146193
